Product name,Product number,Product price,Product description,Product url
Pulpit Furling,500-35,$270.00,"500-35 Pulpit Furling Lead. Stainless Steel spring keeps block supported. Delrin(tm) ball bearing sheave ensures low-friction lead for your furling line. Fits 1"" (25mm) - 1-1/4"" (32mm) stanchions.  Delrin Ball Bearing Sheaves diameter 2"" (51mm), Length 4-3/4"" (145mm), Width 1-1/8"" (29mm),  Maximum Line = 1/2"" (12mm), Safe Working Load 1200 lbs(544kg).",https://hardware.schaefermarine.com/collections/blocks/products/pulpit-furling-500-35
Aluminum Fiddle Block w/ Cam and Becket,504-75,$325.55,"Fiddle block with anodized aluminum cheeks, cam cleat and becket. Works with 504-45 for a 4:1 purchase.  Fast entry cam cleat ensures smooth line engagement.  Removable becket allows pre-spliced lines to be easily attached.  Delrin(tm) sheaves ensure smooth operation and high safe working load.Sheave Dia. 1-7/16"" (37mm), Thickness 2 5/16"" (58mm), Width 3 7/32"" (82mm), Length 6 13/32"" (163mm), SWL 1750 lbs. (795kg), Weight 11.6oz (329g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/aluminum-fiddle-block-w-cam-and-becket-504-75
5 Series Hinged Fairlead/ Ball Bearing,506-32,$186.15,"5 Series Hinged fairlead block.  Delrin(tm) ball bearing sheave has a low profile keeping control lines/halyards close to the deck on a low-friction sheave.  Stainless Steel base and cheeks ensure a strong base.  Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), Length 3-1/4"" (83 mm), Width 7/8"" (22 mm), Height 3-1/16"" (78 mm), Bearing Height 1-3/16"" (30 mm), Fasteners (2), 1/4"" FH (6 mm), C/C 2-1/8"" (54 mm), SWL 1000 lbs. (454 kg), Weight 7.3 oz. (207 g)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-hinged-fairlead-ball-bearing-506-32
5 Series Fixed Fairlead/ Ball Bearing,506-31,$64.45,"5 Series fixed lead halyard/control block.  Delrin(tm) ball bearing sheaves ensure low-friction and high strength.  Low profile lead keeps control lines and halyards close to the deck.  Stainless Steel base provides a strong plateform.  Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), Length 7/16"" (11 mm), Width 13/16"" (21 mm), Heigth 2-17/32"" (64 mm), Bearing Height 23/32"" (18 mm), Fasteners (2), 1/4"" RH (6 mm), C/C 2-1/4"" (57 mm), SWL 1000 lbs. (454 kg), Weight 4.3 oz. (122 g)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-fixed-fairlead-ball-bearing-506-31
"Backing Plate for 704-62, 705-62, 08-62",97-49,$25.15,"Backing Plate for 704-62, 705-62 and 08-62",https://hardware.schaefermarine.com/collections/blocks/products/backing-plate-for-704-62-705-62-08-62-97-49
7 Series Flat Base/SS Cheek/Delrin Sheave,705-11,$173.50,"7 Series Cheek Block with Stainless Steel cheek. Delrin(tm) sheave ensures smooth operation and high safe working load. Stainless steel base distributes loads to a large surface area. Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 4-3/8"" (111 mm), W 2-3/4"" (70 mm), H 1"" (25 mm), Fasteners (4) 1/4"" RH (6 mm), C/C 3-5/8"" (92 mm), C/C (wide end) 2"" (51mm), C/C (narrow end) 1-9/16"", SWL 2250 lbs. (1020 kg), Weight Stain. 11 oz. (312 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-flat-base-ss-cheek-delrin-sheave-705-11
Single Stainless Steel Block,505-05,$96.30,"Single block with stainless steel cheeks. Delrin(tm) sheave ensures smooth operation and high safe working load.   Polished Stainless Steel Cheeks offer a classic look.  Sheave Dia. 2"" (51mm), Thickness 15/16"" (24mm), Width 2 1/8"" (54mm), Length 4 13/32"" (112mm), SWL 1750 lbs. (795kg), Weight 7.1oz (201g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-steel-block-505-05
Single Stainless Block with Upset Shackle,03-04,$88.90,"Single block with Stainless Steel cheeks and upset shackle.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Sheave Dia. 1 7/16"", Thickness 3/4"" (19mm), Width 1 9/16"" (40mm), Length 3 23/32"" (94mm), SWL 1000 lbs (410 kg), Weight 2.7oz. (76g), Max Line 7/16"" (8mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-block-with-upset-shackle-03-04
"5 Series Flat Base Cheek Block, SS Cheeks,",505-11,$111.70,"5 Series Cheek Block with Stainless Steel cheek.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Stainless steel base distributes loads to a large surface area.   Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), Length 3-5/8"" (92 mm), Width 2-7/32"" (57 mm), Height 7/8"" (22 mm), Fasteners (4) #10 - RH (5 mm), C/C 3"" (76 mm), SWL 1750 lbs. (795 kg), Weight 6.9 oz. (196 g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-flat-base-cheek-block-ss-cheeks-505-11
7 Series Over The Top Single/ BB,706-40,$212.35,"7 Series Single Over the Top Block.  Stainless Steel cage and base provide a solid platform for clean leads.  Delrin(tm) ball bearing sheave ensure low-friction and high safe working loads.Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 2-7/8"" (73 mm), W 2-1/4"" (57 mm), H 3-7/16"" (87 mm), Bearing Height 2-5/16"" (58 mm), Fastners (6), #10 RH (5 mm), C/C 2-13/16"" (72 mm), SWL 1200 lbs. (545 kg), Weight 11.6 oz. (329 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-over-the-top-single-bb-706-40
Single Stainless Block with Front-Side Shackle,03-03,$88.10,"Stainless Steel cheeks with front-side shackle.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Sheave Dia. 1 7/16"", Thickness 3/4"" (19mm), Width 1 9/16"" (40mm), Length 3 25/32"" (96mm), SWL 1000 lbs (410 kg), Weight 2.6oz. (73g), Max Line 7/16"" (8mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-block-with-front-side-shackle-03-03
Single Aluminum Block w/ Aluminum Sheave,504-06,$181.60,"Single block with anodized aluminum cheeks and aluminum sheave.  Aluminum sheave runs on nomex(tm)/Teflon(tm) bearing for exceptional strength with low-friction.  Swivel head may be locked in place to avoid twist.  Sheave Dia. 2"" (51mm), Thickness 15/16"" (24mm), Width 2 1/8"" (54mm), Length 4 13/32"" (112mm), SWL 1750 lbs. (795kg), Weight 6oz. (171g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-aluminum-block-w-aluminum-sheave-504-06
7 Series Flat Base/Alum Cheek/Delrin Sheave,704-11,$142.25,"7 Series Cheek Block with anodized Aluminum cheek. Delrin(tm) sheave ensures smooth operation and high safe working load. Stainless steel base distributes loads to a large surface area. Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (13 mm), L 4-3/8"" (111 mm), W 2-3/4"" (70 mm), H 1"" (25 mm), Fasteners (4) 1/4"" RH (6 mm), C/C 3-5/8"" (92 mm), C/C (wide end) 2"" (51mm), C/C (narrow end) 1-9/16"", SWL 2250 lbs. (1020 kg), Weight Alum. 9.6 oz. (272 g)",https://hardware.schaefermarine.com/collections/blocks/products/7-series-flat-base-alum-cheek-delrin-sheave-704-11
Double Stainless Block with Front Side Shackle,03-23,$133.15,"Double block with SS Cheeks.  Works with 03-15 for a 3:1 purchase or 303-85 for a 4:1 purchase.  Delrin(tm) sheaves ensure smooth operation and high safe working load. Sheave Dia. 1 7/16"", Thickness 1 7/16"" (37mm), Width 1 9/16"" (40mm), Length 3 25/32"" (96mm), SWL 1000 lbs (410 kg), Weight 4.1oz. (116g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/double-stainless-block-with-front-side-shackle-03-23
"Spr. Loaded/Lined Slide/S.S. for 1-1/4"" T-Track",705-92,$348.55,"705-92 Stand up spring block for 1-1/4"" T-Track. Delrin(tm) sheave ensures smooth operation and high safe working load. Stainless Steel cheeks and stainless steel slider ensure reliability. Polyethylene liner and pin stop allow for easy adjustment.  Track Size 1-1/4"" x 3/16"" (32 mm x 5 mm), Boat Size Up To LOA, 33', 12000 lbs., 520 sq. ft. (10 m, 5455 kg, 48 m2), Sheave Dia. 2-3/8"" (60 mm), Max Line 1/2"" (12 mm), Length 4"" (102 mm), W 1-9/16"" (39 mm), H 4-15/16"" (126 mm), Bearing Height 2-3/8"" (67 mm), SWL 2250 lbs. (1020 kg), Weight 14 oz. (397 g)",https://hardware.schaefermarine.com/collections/blocks/products/spr-loaded-lined-slide-s-s-for-1-1-4-t-track-705-92
Single Block with Front-Side Shackle and Becket,02-13,$90.55,"Single Block with Front-Side Shackle and Becket. Works with 02-05 for a quick 3:1 purchase.  Delrin(tm) sheave on plain bearing provides smooth operation and high safe working loads.  Length 4-5/32"" (106mm), Width 1-3/16"" (30mm), Thickness 1-1/8"" (28mm), Weight 3 oz. (85g), SWL 900 lbs (410kg)",https://hardware.schaefermarine.com/collections/blocks/products/single-block-with-front-side-shackle-and-becket-02-13
Triple Stainless Block with Becket,705-95,$390.90,"Triple block with Stainless Steel cheeks and becket.  Works with 705-94 for a powerful 6:1 purchase.  Delrin(tm) sheave ensures smooth operation with high safe working load.  Swivel head may be locked in place to eliminate line twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 2 29/32"" (74mm), Width 2 1/2"" (64mm), Length 6 9/32"" (160mm), SWL 2250 lbs. (1020kg), Weight 1 lb. 5oz (595g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/triple-stainless-block-with-becket-705-95
5 Series Organizer Triple - SS Top Plate,505-81,$223.70,"5 Series Triple Stainless Steel deck organizer. Stainless Steel base and Stainless Steel top strap provide a high strength base. Delrin(tm) sheaves ensure smooth operation and high strength. Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), Length 7-31/32"" (202 mm), Width 2"" (51 mm), Height 13/16"" (20 mm), Fasteners (3) 1/4"" RH (6 mm), CC 2-1/4"" (57 mm), SWL 1950 lbs. (885 kg), Weight Stain. 1 lb. 1 oz. (482 g), Weight Alum. 13.4 oz. (380 g)   5 Series deck organizers available with aluminum sheaves part #62-023-15cw",https://hardware.schaefermarine.com/collections/blocks/products/5-series-organizer-triple-ss-top-plate-505-81
Single Block with Front Side Shackle,02-03,$86.30,"Single block with front-side shackle.  Delrin(tm) sheave on plain bearing ensures smooth operation and high static load safe working loads.  Sheave Dia. 1 1/16"" (27mm), Thickness 19/32"" (15mm), Width 1 3/16"" (30mm), Length 3 15/32"" (88mm), SWL 900 lbs, Weight 1.75 oz (50g), Max Line 5/16""(8mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-block-with-front-side-shackle-02-03
Single Ball Bearing Block,706-05,$157.45,"Single block with aluminum cheeks and ball bearing sheave.  Delrin(tm) ball bearing sheave provides a low-friction yet high safe working load block.  Swivel head may be locked in place to eliminate twists.  Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 1/2"" (64mm), Length 5 1/32"" (128mm), SWL 1700 lbs. (771kg), Weight 10.2oz (289g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-ball-bearing-block-706-05
Single Stainless Steel Block,705-05,$163.75,"7 series single block with Stainless Steel cheeks.  Delrin(tm) sheave ensures low-friction and high safe working load.  Swivel head may be locked in place to eliminate line twist.  Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 1/2"" (64mm), Length 5 1/32"" (128mm), SWL 2250 lbs. (1020kg), Weight 10.2oz (289g), Max Line 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-steel-block-705-05
